anno_idx,imdbid,text_gt,text_gt_wo_char,gt_action
1770,tt1707386,"Eponine has been watching, sadly.","She has been watching, sadly.","['She has been watching.', 'She is sadly.']"
1771,tt1707386,Thenardier is by a hovel.,He is by a hovel.,['He is by a hovel.']
1772,tt1707386,In the hovel.,In the hovel.,['He is in the hovel.']
1773,tt1707386,Thenardier approaches Valjean,He approaches him.,['He approaches him.']
1774,tt1707386,Valjean and Cosette have run off.,They have run off.,['They have run off.']
1775,tt1707386,Thenardier grovels and dusts Javert jacket.,He grovels and dusts his jacket.,"['He grovels.', 'He dusts his jacket.']"
1776,tt1707386,Javert looks Thenardier up and down.,He looks him up and down.,['He looks him up and down.']
1777,tt1707386,Marius comes over.,He comes over.,['He comes over.']
1778,tt1707386,"As Eponine walks off, Marius grabs her arm.","As she walks off, he grabs her arm.","['She walks off.', 'He grabs her arm.']"
1779,tt1707386,Marius smiles.,He smiles.,['He smiles.']
1780,tt1707386,The students meet in a tavern.,They meet in a tavern.,['They meet in a tavern.']
1781,tt1707386,"Marius sits, lost in thought.","He sits, lost in thought.","['He sits.', 'He is lost in thought.']"
1782,tt1707386,Enjolras frowns at Marius,He frowns at him.,['He frowns at him.']
1783,tt1707386,Marius sees Eponine and rushes over to her.,He sees her and rushes over to her.,"['He sees her.', 'He rushes over to her.']"
1784,tt1707386,Eponine walks out.,She walks out.,['She walks out.']
1785,tt1707386,Marius exchanges a glance with Enjolras and follows her.,He exchanges a glance with him and follows her.,"['He exchanges a glance with him.', 'He follows her.']"
1786,tt1707386,Cosette is in her bedroom.,She is in her bedroom.,['She is in her bedroom.']
1787,tt1707386,Valjean enters the candlelit room.,He enters the candlelit room.,['He enters the candlelit room.']
1788,tt1707386,Cosette sees a scar on his wrist.,She sees a scar on his wrist.,"['She sees a scar.', 'She sees it on his wrist.']"
1789,tt1707386,Valjean sits.,He sits.,['He sits.']
1790,tt1707386,Cosette looks chastened and walks out of the front door.,She looks chastened and walks out of the front door.,"['She looks chastened.', 'She walks out of the front door.']"
1791,tt1707386,Valjean knits his fingers together.,He knits his fingers together.,['He knits his fingers together.']
1792,tt1707386,Marius walks down a dark street pursued by Eponine,He walks down a dark street pursued by her.,"['He walks down a dark street.', 'He is pursued by her.']"
1793,tt1707386,"In the darkness, Marius stands looking through the railings of Valjean garden.","In the darkness, he stands looking through the railings of the garden.","['He stands looking through the railings of the garden.', 'He stands in the darkness.']"
1794,tt1707386,Cosette walks towards him past branches laden with blossom.,She walks towards him past branches laden with blossom.,['She walks towards him past branches laden with blossom.']
1795,tt1707386,Cosette gazes at Marius,She gazes at him.,['She gazes at him.']
1796,tt1707386,Cosette returns to the house.,She returns to the house.,['She returns to the house.']
1797,tt1707386,Marius goes.,He goes.,['He goes.']
1798,tt1707386,Cosette follows Valjean inside.,She follows him inside.,['She follows him inside.']
1799,tt1707386,Marius looks down and sees Cosette handkerchief.,He looks down and sees her handkerchief.,"['He looks down.', 'He sees her handkerchief.']"
1800,tt1707386,Marius picks it up and walks off.,He picks it up and walks off.,"['He picks it up.', 'He walks off.']"
1801,tt1707386,Eponine looks down sadly and disappears into the shadows.,She looks down sadly and disappears into the shadows.,"['She looks down sadly.', 'She disappears into the shadows.']"
1802,tt1707386,"Thenardier walks down the street with one of his cohorts, Babet","He walks down the street with one of his cohorts, him.","['He walks down the street.', 'He is with one of his cohorts.']"
1803,tt1707386,Thenardier slaps Eponine,He slaps her.,['He slaps her.']
1804,tt1707386,Cosette looks desperate.,She looks desperate.,['She looks desperate.']
1805,tt1707386,Valjean puts a candlestick in her bag.,He puts a candlestick in her bag.,['He puts a candlestick in her bag.']
1806,tt1707386,Cosette seals a folded letter with wax.,She seals a folded letter with wax.,['She seals a folded letter with wax.']
1807,tt1707386,Cosette runs out to the garden and slots the letter in the railings.,She runs out to the garden and slots the letter in the railings.,"['She runs out to the garden.', 'She slots the letter in the railings.']"
1808,tt1707386,Eponine emerges from the shadows and takes the letter.,She emerges from the shadows and takes the letter.,"['She emerges from the shadows.', 'She takes the letter.']"
1809,tt1707386,It's addressed to Marius,It's addressed to him.,"[""It's addressed to him.""]"
1810,tt1707386,Eponine opens the letter and reads it.,She opens the letter and reads it.,"['She opens the letter.', 'She reads it.']"
1811,tt1707386,Eponine looks distressed.,She looks distressed.,['She looks distressed.']
1812,tt1707386,"Rain pours down, soaking the cobbled street.","Rain pours down, soaking the cobbled street.","['Rain pours down.', 'It soaks the cobbled street.']"
1813,tt1707386,"Eponine slowly walks through the darkness, soaked to the skin.","She slowly walks through the darkness, soaked to the skin.","['She slowly walks through the darkness.', 'She is soaked to the skin.']"
1814,tt1707386,Student protesters and townspeople line a street by the Place de la Bastille.,Student protesters and townspeople line a street by the Place de la Bastille.,['Student protesters and townspeople line a street by the Place de la Bastille.']
1815,tt1707386,Gavroche and the urchins are in the elephant.,They are in the elephant.,['They are in the elephant.']
1816,tt1707386,Soldiers march down the street followed by cavalry.,They march down the street followed by them.,"['They march down the street.', 'They are followed by them.']"
1817,tt1707386,Behind them is the large black hearse for General Lamarque,Behind them is the large black hearse for him.,['Behind them is the large black hearse for him.']
1818,tt1707386,Enjolras Waves a red flag and climbs onto the street.,He waves a red flag and climbs onto the street.,"['He waves a red flag.', 'He climbs onto the street.']"
1819,tt1707386,Marius and the others join him.,They join him.,['They join him.']
1820,tt1707386,Javert is in the crowd.,He is in the crowd.,['He is in the crowd.']
1821,tt1707386,"The cavalry face the protesters, who are grouped around the hearse.","The cavalry face them, who are grouped around the hearse.","['The cavalry face them.', 'They are grouped around the hearse.']"
1822,tt1707386,Enjolras and Marius cock pistols.,They cock pistols.,['They cock pistols.']
1823,tt1707386,Soldiers raise their swords and aim their muskets.,They raise their swords and aim their muskets.,"['They raise their swords.', 'They aim their muskets.']"
1824,tt1707386,A soldier shoots into the crowd.,He shoots into the crowd.,['He shoots into the crowd.']
1825,tt1707386,A woman is hit and collapses.,A woman is hit and collapses.,"['A woman is hit.', 'She collapses.']"
1826,tt1707386,Cavalry charges.,They charge.,['They charge.']
1827,tt1707386,Men exchange fire with the soldiers.,They exchange fire with them.,['They exchange fire with them.']
1828,tt1707386,Enjolras shoots.,He shoots.,['He shoots.']
1829,tt1707386,"One of the students, Courfeyrac is knocked down.","One of them, he is knocked down.",['One of them is knocked down.']
1830,tt1707386,"Javert who is dressed as a civilian, helps him up.",He helps him up.,['He helps him up.']
1831,tt1707386,Marius rides down the street.,He rides down the street.,['He rides down the street.']
1832,tt1707386,A cart is overturned and furniture is thrown from windows to build the barricade.,A cart is overturned and furniture is thrown from windows to build the barricade.,"['A cart is overturned.', 'Furniture is thrown from windows to build the barricade.']"
1833,tt1707386,A cannon is pulled into place.,A cannon is pulled into place.,['A cannon is pulled into place.']
1834,tt1707386,Students shoot from behind the barricade.,They shoot from behind the barricade.,['They shoot from behind the barricade.']
1835,tt1707386,People with guns chase the cavalry down the street.,People with guns chase them down the street.,['People with guns chase them down the street.']
1836,tt1707386,Protesters run through the streets.,They run through the streets.,['They run through the streets.']
1837,tt1707386,Marius finds a canoodling couple.,He finds a canoodling couple.,['He finds a canoodling couple.']
1838,tt1707386,A table is taken.,A table is taken.,['A table is taken.']
1839,tt1707386,Marius beams with excitement.,He beams with excitement.,['He beams with excitement.']
1840,tt1707386,Courfeyrac calls out.,He calls out.,['He calls out.']
1841,tt1707386,Tables and pianos are thrown from windows.,Tables and pianos are thrown from windows.,['Tables and pianos are thrown from windows.']
1842,tt1707386,"In a cafe, Javert steals a rosette and pins it to his dark jacket.","In a cafe, he steals a rosette and pins it to his dark jacket.","['He steals a rosette.', 'He pins it to his dark jacket.']"
1843,tt1707386,"A couch and a cart the barricade, which blocks the street.","A couch and a cart the barricade, which blocks the street.","['A couch and a cart barricade the street.', 'A couch blocks the street.', 'A cart blocks the street.']"
1844,tt1707386,An old woman is kissed.,An old woman is kissed.,['An old woman is kissed.']
1845,tt1707386,Her chair is taken.,Her chair is taken.,['Her chair is taken.']
1846,tt1707386,Javert takes a pistol.,He takes a pistol.,['He takes a pistol.']
1847,tt1707386,A red flag is thrown to Marius,A red flag is thrown to him.,['A red flag is thrown to him.']
1848,tt1707386,Enjolras climbs onto the top of the barricade and waves the flag.,He climbs onto the top of the barricade and waves the flag.,"['He climbs onto the top of the barricade.', 'He waves the flag.']"
1849,tt1707386,People wave tricolors from their windows.,They wave tricolors from their windows.,['They wave tricolors from their windows.']
1850,tt1707386,Javert returns.,He returns.,['He returns.']
1851,tt1707386,They raise their weapons.,They raise their weapons.,['They raise their weapons.']
1852,tt1707386,Javert throws off the men who are holding him and lays a few punches.,He throws off the men who are holding him and lays a few punches.,"['He throws off the men who are holding him.', 'He lays a few punches.']"
1853,tt1707386,The students overwhelm him.,They overwhelm him.,['They overwhelm him.']
1854,tt1707386,Enjolras knocks him out with a club.,He knocks him out with a club.,"['He knocks him out.', 'He does it with a club.']"
1855,tt1707386,Enjolras and Marius look around with concern.,They look around with concern.,['They look around with concern.']
1856,tt1707386,They grab their weapons and head to the barricade with the group.,They grab their weapons and head to the barricade with them.,"['They grab their weapons.', 'They head to the barricade with them.']"
1857,tt1707386,A woman closes her shutters.,A woman closes her shutters.,['A woman closes her shutters.']
1858,tt1707386,The students man the barricade and aim their weapons.,They man the barricade and aim their weapons.,"['They man the barricade.', 'They aim their weapons.']"
1859,tt1707386,A platoon of soldiers marches up the street to face them.,A platoon of them marches up the street to face them.,"['A platoon of them marches up the street.', 'They face them.']"
1860,tt1707386,Light flickers on Enjolras face.,Light flickers on his face.,['Light flickers on his face.']
1861,tt1707386,Sparking gunpowder lights up the street.,Sparking gunpowder lights up the street.,['Sparking gunpowder lights up the street.']
1862,tt1707386,Students return fire as soldiers climb up the barricade.,Students return fire as they climb up the barricade.,"['Students return fire.', 'They climb up the barricade.']"
1863,tt1707386,Students shoot through the barricade.,They shoot through the barricade.,['They shoot through the barricade.']
1864,tt1707386,A soldier lies dead on top of it.,A soldier lies dead on top of it.,['A soldier lies dead on top of it.']
1865,tt1707386,"Marius grabs a barrel of gunpowder, which flames up.","He grabs a barrel of gunpowder, which flames up.","['He grabs a barrel of gunpowder.', 'It flames up.']"
1866,tt1707386,Gavroche calls out.,He calls out.,['He calls out.']
1867,tt1707386,Eponine is behind the barricade.,She is behind the barricade.,['She is behind the barricade.']
1868,tt1707386,A soldier aims at Marius,He aims at her.,['He aims at her.']
1869,tt1707386,Eponine grabs the musket and is shot.,She grabs the musket and is shot.,"['She grabs the musket.', 'She is shot.']"
1870,tt1707386,Marius has a torch.,He has a torch.,['He has a torch.']
1871,tt1707386,Marius lowers the flaming torch towards the gunpowder.,He lowers the flaming torch towards the gunpowder.,"['He lowers the flaming torch.', 'He moves it towards the gunpowder.']"
1872,tt1707386,The officer turns to his men.,He turns to them.,['He turns to them.']
1873,tt1707386,They back away.,They back away.,['They back away.']
1874,tt1707386,"Breathless, Enjolras takes the torch from Marius","Breathless, he takes the torch from him.",['He takes the torch from him.']
1875,tt1707386,Eponine sits hunched and clutching her chest where Eponine was shot.,She sits hunched and clutching her chest where she was shot.,"['She sits hunched.', 'She is clutching her chest where she was shot.']"
1876,tt1707386,Marius squats down and puts his arm around her.,He squats down and puts his arm around her.,"['He squats down.', 'He puts his arm around her.']"
1877,tt1707386,Drops of rain glisten on her pale face.,Drops of rain glisten on her pale face.,['Drops of rain glisten on her pale face.']
1878,tt1707386,Her eyes close.,Her eyes close.,['Her eyes close.']
1879,tt1707386,Eponine reaches out to touch his face.,He reaches out to touch his face.,['He reaches out to touch his face.']
1880,tt1707386,Marius gazes at Eponine,He gazes at her.,['He gazes at her.']
1881,tt1707386,Her hand drops to her side.,Her hand drops to her side.,['Her hand drops to her side.']
1882,tt1707386,"Young Gavroche watches, a tear rolling down his cheek.","He watches, a tear rolling down his cheek.","['He watches.', 'A tear rolls down his cheek.']"
1883,tt1707386,Marius gently kisses Eponine brow.,He gently kisses her brow.,['He gently kisses her brow.']
1884,tt1707386,"Enjolras is also watching, grave-faced.","He is also watching, grave-faced.","['He is also watching.', 'He has a grave face.']"
1885,tt1707386,Enjolras squats down.,He squats down.,['He squats down.']
1886,tt1707386,Marius helps him pick Eponine up and carry her away.,He helps him pick her up and carry her away.,"['He helps him pick her up.', 'He and he carry her away.']"
1887,tt1707386,Marius stares at Cosette letter with tear-filled eyes.,He stares at her letter with tear-filled eyes.,"['He stares at her letter.', 'He has tear-filled eyes.']"
1888,tt1707386,"Holding her letter, Marius goes over to Gavroche","Holding her letter, he goes over to him.","['He holds her letter.', 'He goes over to him.']"
1889,tt1707386,Gavroche hurries up a dark stairway to Valjean and Cosette lodgings.,He hurries up a dark stairway to their lodgings.,"['He hurries up a dark stairway.', 'He goes to their lodgings.']"
1890,tt1707386,"Gavroche pulls it back, and Valjean offers a coin.",He offers a coin.,['He offers a coin.']
1891,tt1707386,Gavroche stops.,He stops.,['He stops.']
1892,tt1707386,Gavroche goes.,He goes.,['He goes.']
1893,tt1707386,"Valjean reads the letter, frowning.","He reads the letter, frowning.","['He reads the letter.', 'He frowns.']"
1894,tt1707386,Valjean looks up to the heavens.,He looks up to the heavens.,['He looks up to the heavens.']
1895,tt1707386,"Valjean looks around, thoughtfully.","He looks around, thoughtfully.","['He looks around.', 'He is thoughtfully.']"
1896,tt1707386,"Outside, Valjean steals a dead soldier's jacket, peaked cap and musket.","He steals a dead soldier's jacket, peaked cap and musket.","[""He steals a dead soldier's jacket."", ""He steals a dead soldier's peaked cap."", ""He steals a dead soldier's musket.""]"
1897,tt1707386,"Disguised as a soldier, Valjean makes his way to the barricade where students keep watch.","Disguised as a soldier, he makes his way to the barricade where students keep watch.","['He makes his way to the barricade.', 'Students keep watch where he makes his way to the barricade.']"
1898,tt1707386,Valjean takes off his cap.,He takes off his cap.,['He takes off his cap.']
1899,tt1707386,"Valjean is let in, and guns are aimed at him.","He is let in, and guns are aimed at him.","['He is let in.', 'Guns are aimed at him.']"
1900,tt1707386,Javert has a noose around his neck.,He has a noose around his neck.,['He has a noose around his neck.']
1901,tt1707386,Valjean looks up.,He looks up.,['He looks up.']
1902,tt1707386,Valjean shoots a soldier off a rooftop.,He shoots him off a rooftop.,"['He shoots him.', 'He shoots him off a rooftop.']"
1903,tt1707386,Gavroche hands Valjean a pistol.,He hands him a pistol.,['He hands him a pistol.']
1904,tt1707386,"Beaten and bloody, Javert stares at Valjean slacked faced.",He stares at him slacked faced.,"['He stares at him.', 'He has a slack face.']"
1905,tt1707386,Javert kneels with his hands tied and the noose around his neck.,He kneels with his hands tied and the noose around his neck.,"['He kneels with his hands tied.', 'He has the noose around his neck.']"
1906,tt1707386,Valjean pulls his head up to face him.,He pulls his head up to face him.,"['He pulls his head up.', 'He faces him.']"
1907,tt1707386,They stare into each other's eyes for a moment.,They stare into each other's eyes for a moment.,"[""They stare into each other's eyes."", 'They stare for a moment.']"
1908,tt1707386,Valjean hauls Javert to his feet and marches him to a dark corner.,He hauls him to his feet and marches him to a dark corner.,"['He hauls him to his feet.', 'He marches him to a dark corner.']"
1909,tt1707386,Valjean holds up a dagger.,He holds up a dagger.,['He holds up a dagger.']
1910,tt1707386,They stand facing each other.,They stand facing each other.,['They stand facing each other.']
1911,tt1707386,Valjean cuts the ropes binding his wrists.,He cuts the ropes binding his wrists.,['He cuts the ropes binding his wrists.']
1912,tt1707386,Javert walks off and turns back.,He walks off and turns back.,"['He walks off.', 'He turns back.']"
1913,tt1707386,Valjean aims his pistol.,He aims his pistol.,['He aims his pistol.']
1914,tt1707386,Valjean walks towards him.,He walks towards him.,['He walks towards him.']
1915,tt1707386,Javert frowns incredulously.,He frowns incredulously.,"['He frowns.', 'He looks incredulously.']"
1916,tt1707386,Javert walks off.,He walks off.,['He walks off.']
1917,tt1707386,Valjean aims the pistol.,He aims the pistol.,['He aims the pistol.']
1918,tt1707386,Valjean fires into a wall.,He fires into a wall.,['He fires into a wall.']
1919,tt1707386,Javert stops and looks back then heads off into the dark.,He stops and looks back then heads off into the dark.,"['He stops.', 'He looks back.', 'He heads off into the dark.']"
1920,tt1707386,Valjean goes back to join the others.,He goes back to join the others.,"['He goes back.', 'He joins the others.']"
1921,tt1707386,They sit around regarding him with serious expressions.,They sit around regarding him with serious expressions.,['They sit around regarding him with serious expressions.']
1922,tt1707386,Valjean nods.,He nods.,['He nods.']
1923,tt1707386,Enjolras addresses the group.,He addresses the group.,['He addresses the group.']
1924,tt1707386,Marius stops adjusting the barricade and sits with the others.,He stops adjusting the barricade and sits with them.,"['He stops adjusting the barricade.', 'He sits with them.']"
1925,tt1707386,The wine is passed round.,The wine is passed round.,['The wine is passed round.']
1926,tt1707386,"Frowning, Valjean listens to Marius","Frowning, he listens to him.","['He listens to him.', 'He frowns.']"
1927,tt1707386,Marius sits clutching Cosette handkerchief.,He sits clutching her handkerchief.,['He sits clutching her handkerchief.']
1928,tt1707386,"Standing nearby, Valjean wears a fraught serious expression.","Standing nearby, he wears a fraught serious expression.",['He wears a fraught serious expression.']
1929,tt1707386,Valjean leans in a doorway.,He leans in a doorway.,['He leans in a doorway.']
1930,tt1707386,Valjean looks at Marius,He looks at him.,['He looks at him.']
1931,tt1707386,Valjean stands beside the sleeping Marius,He stands beside the sleeping him.,"['He stands beside him.', 'He is sleeping.']"
1932,tt1707386,Marius stares at Enjolras fearfully.,He stares at him fearfully.,['He stares at him fearfully.']
1933,tt1707386,Everyone looks thoughtful.,Everyone looks thoughtful.,['Everyone looks thoughtful.']
1934,tt1707386,Soldier shoots at Gavroch who has climbed through the barricade.,He shoots at him who has climbed through the barricade.,"['He shoots at him.', 'He has climbed through the barricade.']"
1935,tt1707386,Gavroche is hit.,He is hit.,['He is hit.']
1936,tt1707386,"Gavroche is shot again and flops on his back, dead.","He is shot again and flops on his back, dead.","['He is shot again.', 'He flops on his back.', 'He is dead.']"
1937,tt1707386,One of the students goes to pick him up and carries him back behind the barricade.,One of them goes to pick him up and carries him back behind the barricade.,"['One of them goes to pick him up.', 'He carries him back behind the barricade.']"
1938,tt1707386,Marius gives him cover with his musket.,He gives him cover with his musket.,['He gives him cover with his musket.']
1939,tt1707386,An army officer watches.,He watches.,['He watches.']
1940,tt1707386,"Behind the barricade, Gavroche is laid on the ground.","Behind the barricade, he is laid on the ground.",['He is laid on the ground behind the barricade.']
1941,tt1707386,Enjolras looks around heavy brown.,He looks around heavy brown.,"['He looks around.', 'The background is heavy brown.']"
1942,tt1707386,"As cannons are rolled forward, the students shoot down a few soldiers.","As cannons are rolled forward, they shoot down a few of them.","['As cannons are rolled forward.', 'They shoot down a few of them.']"
1943,tt1707386,Calls Valjean to Marius,Calls him to him,['He calls him to him.']
1944,tt1707386,Cannons are fired splintering the barricade and throwing up clouds of smoke.,Cannons are fired splintering the barricade and throwing up clouds of smoke.,"['Cannons are fired.', 'Cannons splinter the barricade.', 'Cannons throw up clouds of smoke.']"
1945,tt1707386,The students keep shooting at the soldiers.,They keep shooting at them.,['They keep shooting at them.']
1946,tt1707386,Wood splinters and flies through the air as more cannon balls hit the barricade.,Wood splinters and flies through the air as more cannon balls hit the barricade.,"['Wood splinters and flies through the air.', 'More cannon balls hit the barricade.']"
1947,tt1707386,Some of the students are injured.,Some of them are injured.,['Some of them are injured.']
1948,tt1707386,Soldiers advance on the barricade and start to climb up it.,They advance on the barricade and start to climb up it.,"['They advance on the barricade.', 'They start to climb up it.']"
1949,tt1707386,The students keep shooting.,They keep shooting.,['They keep shooting.']
1950,tt1707386,A soldier is slashed with a sword.,He is slashed with a sword.,"['He is slashed.', 'He is slashed with a sword.']"
1951,tt1707386,A student is bayoneted in the back.,He is bayoneted in the back.,"['He is bayoneted.', 'He is in the back.']"
1952,tt1707386,Students hammer on the door of a house but it's locked.,Students hammer on the door of a house but it's locked.,"['Students hammer on the door of a house.', ""It's locked.""]"
1953,tt1707386,A shutter is pulled closed.,A shutter is pulled closed.,['A shutter is pulled closed.']
1954,tt1707386,They manage to get into a building.,They manage to get into a building.,['They manage to get into a building.']
1955,tt1707386,Marius is shot.,He is shot.,['He is shot.']
1956,tt1707386,"Marius falls to the ground, his head and arm bleeding.","He falls to the ground, his head and arm bleeding.","['He falls to the ground.', 'His head and arm are bleeding.']"
1957,tt1707386,Valjean goes to him and drags him into the building.,He goes to him and drags him into the building.,"['He goes to him.', 'He drags him into the building.']"
1958,tt1707386,Enjolras hacks the wooden stars away so the soldiers can't follow.,He hacks the wooden stars away so the soldiers can't follow.,"['He hacks the wooden stars away.', ""He does so the soldiers can't follow.""]"
1959,tt1707386,The students climb up to the first floor of the building.,They climb up to the first floor of the building.,['They climb up to the first floor of the building.']
1960,tt1707386,Soldiers burst into the building with guns blazing.,Soldiers burst into the building with guns blazing.,"['Soldiers burst into the building.', 'Soldiers have guns blazing.']"
1961,tt1707386,Marius over his shoulder.,He over his shoulder.,['He looks over his shoulder.']
1962,tt1707386,Valjean hides behind a door.,He hides behind a door.,['He hides behind a door.']
1963,tt1707386,Soldier aim their muskets up at the ceiling.,They aim their muskets up at the ceiling.,['They aim their muskets up at the ceiling.']
1964,tt1707386,Enjolras and the students are huddled in the room above.,They are huddled in the room above.,"['They are huddled in the room.', 'They are above.']"
1965,tt1707386,The shots go up through the floor hitting most of the students.,The shots go up through the floor hitting most of them.,"['The shots go up through the floor.', 'They hit most of them.']"
1966,tt1707386,They fall.,They fall.,['They fall.']
1967,tt1707386,Valjean sees a low door and yanks it open.,He sees a low door and yanks it open.,"['He sees a low door.', 'He yanks it open.']"
1968,tt1707386,Valjean climbs down into a sewer and drags Marius in with him.,He climbs down into a sewer and drags him in with him.,"['He climbs down into a sewer.', 'He drags him in with him.']"
1969,tt1707386,The soldiers are now upstairs.,They are now upstairs.,['They are now upstairs.']
1970,tt1707386,"They aim their weapons at Enjolras and a fellow student, the only ones left standing.","They aim their weapons at him and another student, the only ones left standing.","['They aim their weapons at him.', 'They and another student are the only ones left standing.']"
1971,tt1707386,Enjolras raises the red flag and soldiers open fire.,He raises the red flag and they open fire.,"['He raises the red flag.', 'They open fire.']"
1972,tt1707386,Enjolras falls back through a window.,He falls back through a window.,['He falls back through a window.']
1973,tt1707386,Enjolras hangs upside down from the ledge still clutching the red flag.,He hangs upside down from the ledge still clutching the red flag.,"['He hangs upside down from the ledge.', 'He is still clutching the red flag.']"
1974,tt1707386,"Later on the cobble street below, Javert now in uniform, walks through a puddle of blood.","Later on the cobble street below, he now in uniform, walks through a puddle of blood.","['He walks in uniform on the cobble street below.', 'He now in uniform walks through a puddle of blood.']"
1975,tt1707386,The cobbles are strewn with the corpses of soldiers.,The cobbles are strewn with the corpses of them.,['The cobbles are strewn with the corpses of them.']
1976,tt1707386,Javert walks into the building where the protesters took refuge.,He walks into the building where the protesters took refuge.,"['He walks into the building.', 'The protesters took refuge where he walks in.']"
1977,tt1707386,The dead students are laid neatly side by side on all the floor.,The dead students are laid neatly side by side on all the floor.,"['The dead students are laid neatly side by side.', 'They are on all the floor.']"
1978,tt1707386,"His eyes stare out lifelessly from his young, pale face.","His eyes stare out lifelessly from his young, pale face.","['His eyes stare out lifelessly.', 'His young, pale face is visible.']"
1979,tt1707386,Javert squats down at the end of the line beside the corpse of Gavroche,He squats down at the end of the line beside the corpse of him.,['He squats down at the end of the line beside the corpse of him.']
1980,tt1707386,"Javert looks around, moved by the scene.","He looks around, moved by the scene.","['He looks around.', 'He is moved by the scene.']"
1981,tt1707386,Javert removes from his jacket the star shaped Legion of Honor medal with its red ribbon and pins it to Gavroche coat.,He removes from his jacket the star shaped Legion of Honor medal with its red ribbon and pins it to his coat.,"['He removes from his jacket the star shaped Legion of Honor medal with its red ribbon.', 'He pins it to his coat.']"
1982,tt1707386,Javert frowns and his eyes dart about wildly.,He frowns and his eyes dart about wildly.,"['He frowns.', 'His eyes dart about wildly.']"
1983,tt1707386,Javert gets up and looks around.,He gets up and looks around.,"['He gets up.', 'He looks around.']"
1984,tt1707386,"Javert goes to a door, turns the handle, and pushes it open.","He goes to a door, turns the handle, and pushes it open.","['He goes to a door.', 'He turns the handle.', 'He pushes it open.']"
1985,tt1707386,"In the sewer, Valjean is heaving the unconscious Marius along.","In the sewer, he is heaving the unconscious him along.",['He is heaving the unconscious him along in the sewer.']
1986,tt1707386,"On ground level, Javert hears Valjean straining.","On ground level, he hears him straining.",['He hears him straining.']
1987,tt1707386,Javert tries to find the source of the noise.,He tries to find the source of the noise.,['He tries to find the source of the noise.']
1988,tt1707386,Javert goes to another door.,He goes to another door.,['He goes to another door.']
1989,tt1707386,Javert listens and peers down at a round entrance to the sewers.,He listens and peers down at a round entrance to the sewers.,"['He listens.', 'He peers down at a round entrance to the sewers.']"
1990,tt1707386,Valjean slips down a duct tunnel.,He slips down a duct tunnel.,['He slips down a duct tunnel.']
1991,tt1707386,Valjean and Marius plummet into the cavernous sewers landing unconscious in dark sludge.,They plummet into the cavernous sewers landing unconscious in dark sludge.,"['They plummet into the cavernous sewers.', 'They land unconscious in dark sludge.']"
1992,tt1707386,"On ground level, Javert frowns.","On ground level, he frowns.",['He frowns.']
1993,tt1707386,Thenardier is down in the sewer.,Thenardier is down in the sewer.,['Thenardier is down in the sewer.']
1994,tt1707386,Thenardier takes Marius gold signet ring and puts it on.,He takes his gold signet ring and puts it on.,"['He takes his gold signet ring.', 'He puts it on.']"
1995,tt1707386,Valjean grabs Thenardier,He grabs him.,['He grabs him.']
1996,tt1707386,Shoved Thenardier down into the sludge.,He shoves him down into the sludge.,"['He shoves him.', 'He pushes him down into the sludge.']"
1997,tt1707386,Valjean gets up and hauls Marius up onto his shoulder.,He hauls him up onto his shoulder.,['He hauls him up onto his shoulder.']
1998,tt1707386,"With the unconscious Marius over his shoulder, Valjean wades up through the knee-deep sewerage.","With him over his shoulder, he wades up through the knee-deep sewerage.","['With him over his shoulder, he wades up through the knee-deep sewerage.', 'He wades up through the knee-deep sewerage.']"
1999,tt1707386,"Dim light filtering through gratings above, washes over the curved brick work.","Dim light filtering through gratings above, washes over the curved brick work.","['Dim light filtering through gratings above.', 'It washes over the curved brick work.']"
2000,tt1707386,The sewerage gets deeper.,The sewerage gets deeper.,['The sewerage gets deeper.']
2001,tt1707386,Valjean is up to his neck.,He is up to his neck.,['He is up to his neck.']
2002,tt1707386,Valjean holds Marius up next to him.,He holds him up next to him.,['He holds him up next to him.']
2003,tt1707386,Valjean shoves a gate open.,He shoves a gate open.,['He shoves a gate open.']
2004,tt1707386,Valjean drags Marius through an outflow pipe into the dark night.,He drags him through an outflow pipe into the dark night.,"['He drags him through an outflow pipe.', 'He drags him into the dark night.']"
2005,tt1707386,Valjean looks up and sees Javert standing there waiting for him.,He looks up and sees him standing there waiting for him.,"['He looks up.', 'He sees him standing there.', 'He is waiting for him.']"
2006,tt1707386,"Covered in sewerage, Valjean holds Marius onto his shoulder and climbs up steps out of the sewer.","Covered in sewerage, he holds him onto his shoulder and climbs up steps out of the sewer.","['Covered in sewerage, he holds him onto his shoulder.', 'He climbs up steps out of the sewer.']"
2007,tt1707386,Javert aims a pistol at him.,He aims a pistol at him.,['He aims a pistol at him.']
2008,tt1707386,Valjean turns to Javert who holds the pistol steady.,He turns to him who holds the pistol steady.,"['He turns to him.', 'He holds the pistol steady.']"
2009,tt1707386,Valjean considers.,He considers.,['He considers.']
2010,tt1707386,Valjean turns and walks away.,He turns and walks away.,"['He turns.', 'He walks away.']"
2011,tt1707386,"Wearing a troubled frown, Javert stares at the pistol for a moment, then drops it into the sewer.","Wearing a troubled frown, he stares at the pistol for a moment, then drops it into the sewer.","['He stares at the pistol for a moment.', 'He drops it into the sewer.']"
2012,tt1707386,Javert starts to walk away.,He starts to walk away.,['He starts to walk away.']
