text_gt,text_gt_wo_char
"As Karen checks left and right, Dennis's gaze settles on her.","As he checks left and right, his gaze settles on her."
She meets his eyes.,She meets his eyes.
Denna steps forward and plants a gentle kiss on her lips.,She steps forward and plants a gentle kiss on her lips.
Karen puts a hand up to his chest and pulls away.,She puts a hand up to his chest and pulls away.
"She looks at him a moment, then leans in to kiss him.","She looks at him a moment, then leans in to kiss him."
"Across the room, an old woman fires a gun at the ceiling.","Across the room, she fires a gun at the ceiling."
"Dennis and Karen look around at the singing guests, then at each other.","They look around at the singing guests, then at each other."
"Gazing at her with his tongue to his lip, Dennis gently slides a thin streamer off Karen's shoulder.","Gazing at her with his tongue to his lip, he gently slides a thin streamer off her shoulder."
He stares intently at her.,He stares intently at her.
"She returns his stare, then looks down and turns away.","She returns his stare, then looks down and turns away."
She edges her way through the party guests.,She edges her way through the party guests.
"In a river, two hippos allow just the tops of their heads and noses to surface.","In a river, two hippos allow just the tops of their heads and noses to surface."
"Karen steps away from the riverbank, struggling to pull a comb through her knotted hair.","She steps away from the riverbank, struggling to pull a comb through her knotted hair."
Dennis looks up from riding in a leather portfolio on his lap.,He looks up from riding in a leather portfolio on his lap.
He shampoos her hair.,He shampoos her hair.
"She tilts her head back, eyes closed.","She tilts her head back, eyes closed."
Karen slips apart as Dennis gently pours water over her sudsy hair.,He gently pours water over her sudsy hair.
She opens her eyes and smiles up at him.,She opens her eyes and smiles up at him.
The sun crests his head as he warmly smiles back.,The sun crests his head as he warmly smiles back.
"Good size, but... As he looks around, something catches his eye.","Good size, but... As he looks around, something catches his eye."
Another much larger paw print indents the mud.,Another much larger paw print indents the mud.
Dennis stands.,He stands.
He glances around.,He glances around.
"Later, the lead man's sandal-clad feet step carefully across a forest floor covered in twigs, leaves, and bark.","Later, he steps carefully across a forest floor covered in twigs, leaves, and bark."
"Dennis, Karen, and the other man follow him through low-hanging, leafy branches.","Dennis, Karen, and the other man follow him through low-hanging, leafy branches."
Dennis tucks his binoculars behind his arm.,He tucks his binoculars behind his arm.
"As the lead man looks back at him, Dennis motions with his hand.","As the lead man looks back at him, he motions with his hand."
They all stop and crouch down.,They all stop and crouch down.
Karen watches Dennis out of the corner of her eye.,He watches him out of the corner of her eye.
Dennis' blue eyes shift searchingly as he listens.,His blue eyes shift searchingly as he listens.
He carefully readies his double-barreled rifle and slowly rises.,He carefully readies his double-barreled rifle and slowly rises.
"Later, as Dennis and Karen follow the lead man, they both stop and look to their right.","Later, as they follow him, they both stop and look to their right."
Three lions feast on a buffalo carcass.,They feast on a buffalo carcass.
Dennis holds out a hand to stop Karen from moving.,He holds out a hand to stop her from moving.
The lions gnaw hungrily.,They gnaw hungrily.
Karen stares wide-eyed.,She stares wide-eyed.
Dennis shifts his gaze to the lead man who crouches nearby with a rifle.,He shifts his gaze to him who crouches nearby with a rifle.
"He slowly rises and Dennis and Karen take slow, steady steps backwards, their eyes on the lions.","He slowly rises and they take slow, steady steps backwards, their eyes on the lions."
"As one of the lions chews on the buffalo's head, the lead man, Dennis and Karen continue to move backward, distancing themselves.","As one of the lions chews on the buffalo's head, he and she continue to move backward, distancing themselves."
"Dennis pulls two long bullets from specially made pockets in his vest, all the while keeping his eyes on the lions.","He pulls two long bullets from specially made pockets in his vest, all the while keeping his eyes on the lions."
Karen slowly turns to start walking forward.,She slowly turns to start walking forward.
A lion comes charging at her.,A lion comes charging at her.
"Dennis tries to aim his rifle, but Karen stands between him and the lioness.","He tries to aim his rifle, but she stands between him and the lioness."
"Fighting her bottom lip, Karen aims her rifle.","Fighting her bottom lip, she aims her rifle."
Karen fires and the lioness goes down.,She fires and it goes down.
The mail line comes charging from the other side.,The mail line comes charging from the other side.
Dennis stares down his double-barreled rifle and fights.,He stares down his double-barreled rifle and fights.
Karen obeys.,She obeys.
Dennis alertly adjusts his aim.,He alertly adjusts his aim.
The lead man slowly rises from his crouched position.,He slowly rises from his crouched position.
Karen and Dennis relax their aims and lower the rifles.,They relax their aims and lower the rifles.
Karen gapes.,She gapes.
Dennis slips the extra bullets back into a pocket.,He slips the extra bullets back into a pocket.
They look at each other and Karen smiles.,They look at each other and she smiles.
Dennis takes the bandana from around his neck and dabs at a bloody cut on her bottom lip.,He takes the bandana from around his neck and dabs at a bloody cut on her bottom lip.
"Gazing up at him, Karen opens her mouth a little wider for him to tend to her.","Gazing up at him, she opens her mouth a little wider for him to tend to her."
At the factory workers moved the beans through troughs of water.,At the factory they moved the beans through troughs of water.
Karen's hands were among them.,Her hands were among them.
Beans pour into the hopper.,Beans pour into the hopper.
"At night, Karen sits at her vanity writing.","At night, she sits at her vanity writing."
She lowers her pen and looks over at the little owl on its perch.,She lowers her pen and looks over at the little owl on its perch.
She rests her head on her hand and pets the owl with one finger.,She rests her head on her hand and pets the owl with one finger.
Daytime Karen grinds some dried beans between her hands and blows away the outer skin At night she sits on steps between a burning furnace and a large spinning drum.,Daytime she grinds some dried beans between her hands and blows away the outer skin At night she sits on steps between a burning furnace and a large spinning drum.
She looks up from a ledger in her lap and takes off her glasses In the middle of the night Camante comes to her room with a lantern.,She looks up from a ledger in her lap and takes off her glasses In the middle of the night he comes to her room with a lantern.
"Pulling back the window, she sees a blazing fire across the lawn.",She sees a blazing fire across the lawn.
Fire engulfs the wooden structure of the factory.,Fire engulfs the structure.
Flames rise from stacks of bagged coffee like an enormous bonfire.,Flames rise from stacks of bagged coffee like an enormous bonfire.
All of the kakuyu gather around.,All of them gather around.
Many of them try to get closer to the fire carrying buckets of water.,Many of them try to get closer to the fire carrying buckets of water.
"As the fire rages, the men with the water back away quickly.","As the fire rages, they back away quickly."
Karen arrives wearing a coat over her pajamas.,She arrives wearing a coat over her pajamas.
She stops and watches open mouths as the fire consumes her factory and crop.,She stops and watches open mouths as the fire consumes her factory and crop.
A worker runs up behind her.,A worker runs up behind her.
"Inside the burning structure, beams collapse.","Inside the burning structure, beams collapse."
"Karen covers her mouth, a kakuyu woman gape sadly.","She covers her mouth, a woman gapes sadly."
A little boy comes up next to Karen and sneaks a hand into her pocket.,A little boy comes up next to her and sneaks a hand into her pocket.
Karen notices him and smashes him.,She notices him and smashes him.
She crouches down and puts the child on her knee.,She crouches down and puts the child on her knee.
She gazes at the fire.,She gazes at the fire.
"As the fire rages, Karen glumly puts her cheek against the child's head.","As the fire rages, he glumly puts his cheek against the child's head."
"Daytime, Karen walks past the destroyed structure with Delamere, smoke still wafts from the remnants.","Daytime, he walks past the destroyed structure with him, smoke still wafts from the remnants."
Karen slips her arm in Delamere's.,She slips her arm in his.
"Among the mourners, Brauer, Delamere and Felicity all gaze sadly.","Among the mourners, they all gaze sadly."
"Under the nearby tree, the native men watch motionless.","Under the nearby tree, they watch motionless."
"Karen blinks her teary eyes and looks back toward the ridge, finding it empty.","She blinks her teary eyes and looks back toward the ridge, finding it empty."
She opens her mouth and takes a steadying breath and shuts her eyes.,She opens her mouth and takes a steadying breath and shuts her eyes.
Delamere blinks mournfully.,He blinks mournfully.
"Felicity wets her red lips, gazing sadly.","She wets her red lips, gazing sadly."
Karen's glistening eyes settle on the grave.,Her glistening eyes settle on the grave.
She takes a step aside and lifts a handful of dirt from the pile next to it.,She takes a step aside and lifts a handful of dirt from the pile next to it.
Her hand trembles as she hesitates to hold it out in front of her.,Her hand trembles as she hesitates to hold it out in front of her.
"Instead of dropping the dirt on the casket, she clutches it to her chest.","Instead of dropping the dirt on the casket, she clutches it to her chest."
She walks away.,She walks away.
"The mourners stay standing there, their hands folded at their waists.","They stay standing there, their hands folded at their waists."
"As Karen walks, she removes her hat and runs her dirty hand through her hair.","As she walks, she removes her hat and runs her dirty hand through her hair."
The mourners start to disperse.,They start to disperse.
Bror remains still.,He remains still.
"He looks over at Karen, who keeps her back to the others.","He looks over at her, who keeps her back to the others."
Bror slowly leaves with a young woman.,He slowly leaves with a young woman.
"Lingering behind the rest, Delamere starts to go.","Lingering behind the rest, he starts to go."
Karen stands by a large leafy tree looking out over the plain.,She stands by a large leafy tree looking out over the plain.
"Later she walks through the Kokuyu village, then her coffee fields, and past the little schoolroom.","Later she walks through the Kokuyu village, then her coffee fields, and past the little schoolroom."
A couple sit in a cafe near Officer Jones.,A couple sit in a cafe near him.
Jones surreptitiously makes noises in time with the man chomping on a chip.,He surreptitiously makes noises in time with him chomping on a chip.
"The horrified woman, Diane, stares at the man, Michael, who looks confused.",She stares at him who looks confused.
Jones makes hog noises as Diane takes a big bite of her burger and eats it.,He makes hog noises as she takes a big bite of her burger and eats it.
Jones makes noises as embarrassed Diane blows her nose.,He makes noises as embarrassed she blows her nose.
He then creates sound effects as Michael sips his drink.,He then creates sound effects as he sips his drink.
Diane gets up.,She gets up.
A sulking tackleberry's having lunch outdoors with Kirkland.,A sulking tackleberry's having lunch outdoors with him.
In the shop...,In the shop...
"The thugs make a run for it through the back door, outside.","The thugs make a run for it through the back door, outside."
Armed Mahoney crouches low as he makes his way across the shop window and to the entrance.,Armed he crouches low as he makes his way across the shop window and to the entrance.
"Overweight Vinny bends and waddles after Mahoney, who enters the shop first.","Overweight he bends and waddles after him, who enters the shop first."
Sweetchuck is lying behind the counter.,He is lying behind the counter.
"Vinny has his hand on Mahoney's back, and they cautiously make their way through the shop.","He has his hand on his back, and they cautiously make their way through the shop."
The water barrel bubbles and startles Vinny and Mahoney.,The water barrel bubbles and startles them.
They then continue.,They then continue.
Mahoney jumps and turns to Vinny calmly.,He jumps and turns to her calmly.
"From the back door, bespectacled Fakla appears with a rifle, Mahoney to Vinny.","From the back door, he appears with a rifle, him to him."
They haven't seen Fakla.,They haven't seen him.
"As Fakla steps onto the shop floor, the rifle catches on a chandelier.","As he steps onto the shop floor, the rifle catches on a chandelier."
Vinny hears.,He hears.
Vinny shoots at his own reflection in a mirror.,He shoots at his own reflection in a mirror.
Fakla catches his foot in the animal trap and falls.,He catches his foot in the animal trap and falls.
Both Vinnie and Mahoney shoot towards Lance.,Both he and he shoot towards him.
"Taking cover in front of the counter and holding a handgun, Fackler starts to back away on his hands and knees.","Taking cover in front of the counter and holding a handgun, he starts to back away on his hands and knees."
"Vinnie and Mahoney trip over him as they back away, and Fackler accidentally shoots.","Vinnie and Mahoney trip over him as they back away, and Fackler accidentally shoots."
Tackleberry bursts in.,He bursts in.
He starts shooting at items on the counter.,He starts shooting at items on the counter.
Kirkland follows behind and aimlessly shoots round the shop with a machine gun.,He follows behind and aimlessly shoots round the shop with a machine gun.
Mirrors smash chandeliers fall and lamps break.,Mirrors smash chandeliers fall and lamps break.
"Sweetchuck bounces onto an office chair, jumps over the back of a counter and escapes through the shop's front window with its glass and pieces on the street.","He bounces onto an office chair, jumps over the back of a counter and escapes through the shop's front window with its glass and pieces on the street."
Sweetchuck starts to run down the street.,He starts to run down the street.
Captain Lasard rolls his eyes.,He rolls his eyes.
He stops Vinnie from eating.,He stops him from eating.
"Captain Lassard regards Mahoney, smiles and nods.","He regards him, smiles and nods."
He looks to mowza.,He looks to mowza.
Mahoney smiles.,He smiles.
An East Asian green grocer is unloading boxes of greens from his truck outside his warehouse.,An East Asian green grocer is unloading boxes of greens from his truck outside his warehouse.
Two thugs approach him and sees him.,Two thugs approach him and see him.
Jones jumps and leaps over a tall chain-link fence.,He jumps and leaps over a tall chain-link fence.
He lands on the ground with his eyes fixed on the two thugs.,He lands on the ground with his eyes fixed on them.
He then jumps onto the warehouse platform the thugs are standing on.,He then jumps onto the warehouse platform they are standing on.
"They push the green grocer aside, he falls onto the truck bed.","They push him aside, he falls onto the truck bed."
Jones wraps a white kung fu headband with red Chinese characters around his head and performs some kung fu stunts.,He wraps a white kung fu headband with red Chinese characters around his head and performs some kung fu stunts.
Jones speaks.,He speaks.
He punches both thugs in their faces and pulls them forward making them fall.,He punches both thugs in their faces and pulls them forward making them fall.
"As the thugs try to attack him, he kicks them away.","As the thugs try to attack him, he kicks them away."
"With folded arms, the delighted greengroves to watch as them fight.","With folded arms, they watch as them fight."
"Jones somersaults over the thugs, lands on the ground and whacks them in their faces with his clenched fists.","He somersaults over them, lands on the ground and whacks them in their faces with his clenched fists."
Jones then balances on his hands and kicks the thugs in the faces.,He then balances on his hands and kicks them in the faces.
He then hangs from a metal beam above and kicks them again.,He then hangs from a metal beam above and kicks them again.
He twists one around by his neck using his feet and kicks him onto the truck bed.,He twists one around by his neck using his feet and kicks him onto the truck bed.
Jones fights with the remaining thug using long packaging rolls.,He fights with the remaining thug using long packaging rolls.
Jones blocks the thug's blows and kicks him towards a collection of trash cans.,He blocks his blows and kicks him towards a collection of trash cans.
The thug regains his balance and breaks Jones' roll in half.,The thug regains his balance and breaks his roll in half.
Jones uses both pieces to attack the thug's sides and pushes him onto the truck bed.,He uses both pieces to attack the thug's sides and pushes him onto the truck bed.
On the radio mic.,On it.
Surprise took some mouths a look at Proctor.,Surprise took some mouths a look at him.
Vinnie and Mahoney arrive in their canine unit truck.,They arrive in their canine unit truck.
"As the fighting continues in the bar, Mahoney and Vinny cautiously head down an alleyway and approach the entrance of the bar.","As the fighting continues in the bar, they cautiously head down an alleyway and approach the entrance of the bar."
"It looks like a back entrance of a decrepit shop, with the number on it and a sign saying, no person's under allowed.","It looks like a back entrance of a decrepit shop, with the number on it and a sign saying, no person's under allowed."
"Mahoney goes in, but is then thrown out.","He goes in, but is then thrown out."
High Tower marches up to Mahoney and helps him up with Vinny.,He helps him up with him.
High Tower goes in.,He goes in.
to the bar entrance.,to the bar entrance.
Hightower then emerges carrying one thug by his belt and another over his shoulder.,He then emerges carrying one thug by his belt and another over his shoulder.
Mahoney and Vinnie carry an unconscious thug away.,They carry an unconscious thug away.
Mahoney and Vinny drive away with an unconscious group of thugs locked in the dog cage at the back of the truck.,They drive away with an unconscious group of thugs locked in the dog cage at the back of the truck.
The dancers from the bus surround Hightower and stare at him admiringly.,The dancers from the bus surround him and stare at him admiringly.
He looks uneasy.,He looks uneasy.
Kirkland visits her parents and brother at their house with tackleberry.,She visits them and her brother at their house with tackleberry.
The dad slaps the mum's bum.,He slaps her bum.
Tackleberry and Kirkland sit together on a couch.,They sit together on a couch.
Kirkland laughs as the brother punches the Dad's face.,He laughs as he punches his face.
He punches his son's groin.,He punches his groin.
He punches again.,He punches again.
The dad roll punches his son's face.,He roll punches his face.
Eugene looks surprised.,He looks surprised.
The mother enters the room.,She enters the room.
It's Echo Berry.,It's her.
He kisses a piece of paper.,He kisses a piece of paper.
Jules drags her red furline shawl into her bedroom.,She drags her red furline shawl into her bedroom.
He crosses to the sofa where she sits in a pink silk dressing gown.,He crosses to the sofa where she sits in a pink silk dressing gown.
He hands her a glass tumbler sitting next to her.,He hands her a glass tumbler sitting next to her.
She takes a drag of a cigarette staring at him.,She takes a drag of a cigarette staring at him.
"He nods slowly, eyes cast down.","He nods slowly, eyes cast down."
"He freezes, then looks up at her.","He freezes, then looks up at her."
"Glancing back down momentarily, he looks up again.","Glancing back down momentarily, he looks up again."
"He looks up at her, smoke plumes disappearing into his parted lips.","He looks up at her, smoke plumes disappearing into his parted lips."
She hurries to the door.,She hurries to the door.
She grins at him encouragingly.,She grins at him encouragingly.
"Leslie Moutz, wow.",He watches her.
Alec walks through the door carrying a red bag.,He walks through the door carrying a red bag.
Leslie kisses Alec.,He kisses her.
Alec hands her the bag and she pulls out her lacy red negligee with black trim.,He hands her the bag and she pulls out her lacy red negligee with black trim.
She exits and Alec crosses to Kevin.,She exits and he crosses to him.
Alec Glantz is behind him.,He is behind him.
He mimes jumping by lurching forwards.,He mimes jumping by lurching forwards.
Well... Billy's smile fades as he looks at her.,Well... his smile fades as he looks at her.
She lowers her eyes before looking back up at him.,She lowers her eyes before looking back up at him.
Billy holds two tumblers in a study.,He holds two tumblers in a study.
Windy switches off a floor lamp and Billy crosses to another lamp by the sofa.,He switches off a floor lamp and he crosses to another lamp by the sofa.
Billy hands her a glass and they sit on the sofa sipping from their drinks.,He hands her a glass and they sit on the sofa sipping from their drinks.
They place them down on a table.,They place them down on a table.
Billy laughs one hand on Wendy's shoulder.,He laughs one hand on her shoulder.
"He leans in, kissing her, and slides hand under her pink cardigan on her breast.","He leans in, kissing her, and slides hand under her pink cardigan on her breast."
"He kisses her again, pushing her back on the sofa and sliding his hand under her skirt.","He kisses her again, pushing her back on the sofa and sliding his hand under her skirt."
"He lifts her skirt, revealing long support pants over pink tights.","He lifts her skirt, revealing long support pants over pink tights."
She pushes his hand away and stands as he sips from his glass.,She pushes his hand away and stands as he sips from his glass.
She stares at him and he smiles up at her.,She stares at him and he smiles up at her.
She continues to stare as he drinks from his glass.,She continues to stare as he drinks from his glass.
He stares and she tips toward him slightly.,He stares and she tips toward him slightly.
"He lunges towards her, grabbing her cheeks and kissing her.","He lunges towards her, grabbing her cheeks and kissing her."
They stare at each other.,They stare at each other.
"Through bookshelves and Kevin's room, Alec walks into view in the living room.","Through bookshelves and his room, he walks into view in the living room."
Leslie silently cups Kevin's face.,He silently cups his face.
Alec sits by the blue shut doors of Kevin's room.,He sits by the blue shut doors of his room.
Kevin walks out in a dressing gown.,He walks out in a dressing gown.
Leslie turns on her front a tear down her cheeks.,She turns on her front a tear down her cheeks.
Leslie walks out wrapped in a blanket and Alex stares.,He walks out wrapped in a blanket and he stares.
Kevin freezes and Alec raises a hand in disbelief.,He freezes and he raises a hand in disbelief.
Kevin closes his eyes then turns to Leslie.,He closes his eyes then turns to her.
Leslie's mouth drops open as Kevin looks down.,His mouth drops open as he looks down.
"Alex stands still, staring at Leslie intently.","He stands still, staring at her intently."
They pull at the bars.,They pull at the bars.
"As Lezzy leaves, Alec grabs Kevin.","As he leaves, he grabs him."
Lezzy looks out the window to see Kevin being hung upside down.,He looks out the window to see him being hung upside down.
Leslie pierce through the bars at Jules.,He pierces through the bars at her.
Kevin closes his eyes.,He closes his eyes.
A truck appears through the archway.,A truck appears through the archway.
Alec looks from Kevin to Leslie.,He looks from him to her.
Kevin closes his eyes and Alec and Leslie heave him back up over the fire escape railing as Billy and Kirby unload equipment off the truck.,Kevin closes his eyes and they heave him back up over the fire escape railing as they unload equipment off the truck.
Billy runs to the front door.,He runs to the front door.
Ron sticks his head out the door.,He sticks his head out the door.
Kevin dons a mask as he lights a blowtorch.,He dons a mask as he lights a blowtorch.
Billy slowly holds up one of the cigarettes.,He slowly holds up one of the cigarettes.
"Hanging his head, Billy stubs out the cigarettes in the top of an aerosol can.","Hanging his head, he stubs out the cigarettes in the top of an aerosol can."
He lights a spray from the can.,He lights a spray from the can.
He crawls over and pulls her head onto his shoulder.,He crawls over and pulls her head onto his shoulder.
He caresses her head and rubs her back.,He caresses her head and rubs her back.
"As several men ride horses into the village, townspeople flee.","As several men ride horses into the village, townspeople flee."
"One of the men throws a torch on a nearby house, causing both the humans and mice who live in it to scurry away.","One of them throws a torch on a nearby house, causing both the humans and mice who live in it to scurry away."
"As the men ride off, more mice dash from burning homes.","As they ride off, more mice dash from burning homes."
A group of cats with black mustaches and cossack hats runs into the streets.,A group of cats with black mustaches and cossack hats runs into the streets.
They bear their sharp teeth.,They bear their sharp teeth.
Three mice jump out of their path just in time.,Three mice jump out of their path just in time.
The cats then salivate and begin to stalk their prey.,The cats then salivate and begin to stalk their prey.
"Wide-eyed, the mice quickly take off.",They quickly take off.
"In the mouse-go-its house, mama comforts the baby.","In the mouse-go-its house, he comforts her."
"Fievel darts outside, banging a pan with a spoon.","He darts outside, banging a pan with a spoon."
He races up a steep hill.,He races up a steep hill.
He runs back down with a large cat close behind.,He runs back down with a large cat close behind.
"Burrowing through the snow, he escapes through a mouse hole in a freestanding door.","Burrowing through the snow, he escapes through a mouse hole in a freestanding door."
The cat's head gets stuck in it.,The cat's head gets stuck in it.
Fievel collides with a boot.,He collides with a boot.
"Up ahead, another cat charges toward him.","Up ahead, another cat charges toward him."
"He retreats again into the snow, just barely missing the cat's grasp.","He retreats again into the snow, just barely missing the cat's grasp."
The other cat frees itself.,It frees itself.
"As the two cats race toward each other, snow billows around them.","As the two cats race toward each other, snow billows around them."
Fival gets swept up in one cat's billow riding on the front.,He gets swept up in one cat's billow riding on the front.
The cats collide and the snow falls off their heads to reveal Fival resting on their noses.,The cats collide and the snow falls off their heads to reveal him resting on their noses.
He scurries up a rope into a teapot.,He scurries up a rope into a teapot.
"Clawing at the teapot, the cats reach inside.",They reach inside.
Fival hides in the lid.,He hides in the lid.
"As one cat checks inside the lid, Fival hides against the outside.","As one cat checks inside the lid, he hides against the outside."
The cat tosses the lid aside and the gang of felines bounds away from the burning Russian village.,The cat tosses the lid aside and they bound away from the burning Russian village.
Fievel dizzily emerges from beneath the lid.,He dizzily emerges from beneath the lid.
He smiles and shakes his head.,He smiles and shakes his head.
Several mice jump.,They jump.
An Italian mouse leaps into view.,An Italian mouse leaps into view.
The old knitting mouse faints again.,The old knitting mouse faints again.
An Irish mouse.,An Irish mouse.
The male mice form a tunnel with their arms and the female mice dance through.,They form a tunnel with their arms and they dance through.
Male mice stack their trunks.,They stack their trunks.
The trunks become the base of a mouse pyramid as several dancers climb on top of each other with the old knitting mouse at the very top.,They become the base of a mouse pyramid as several dancers climb on top of each other with the old knitting mouse at the very top.
"At the top of the stairs nearby, a door to the deck bangs back and forth.","At the top of the stairs nearby, a door to the deck bangs back and forth."
Fievel jumps onto the stairs.,He jumps onto the stairs.
Water washes through the door and Fievel docks.,Water washes through the door and he docks.
Fish flop inside.,They flop inside.
"The young mouse eyes the fish, then turns to the door.","The young mouse eyes the fish, then turns to the door."
"With a mischievous grin, he takes off his cap.","With a mischievous grin, he takes off his cap."
He throws his cap up the stairs.,He throws his cap up the stairs.
Then the wind carries it outside.,Then the wind carries it outside.
He climbs.,He climbs.
Papa hastens up the stairs after him while Fievel stands wide-eyed in the threshold.,He hastens up the stairs after him while he stands wide-eyed in the threshold.
"Before him, dozens of fish flop along the flooded deck.","Before him, dozens of fish flop along the flooded deck."
"As Fievel reaches for his hat, he tumbles outside.","As he reaches for his hat, he tumbles outside."
Papa grips the rope by the door.,He grips the rope by the door.
"Papa grabs his sleeve, but it rips.","He grabs his sleeve, but it rips."
"Five-O clings to a herring, but the current proves too strong for the fish, and he lets go of it just before it slips off the boat.",He lets go of it just before it slips off the boat.
"He then grabs a rope, which sweeps him high up into the ship's rigging.","He then grabs a rope, which sweeps him high up into the ship's rigging."
"Out on the ocean's rough waves, he sees the water morph into the giant shape of the sea god Neptune.","Out on the ocean's rough waves, he sees the water morph into the giant shape of the sea god."
Neptune strikes the ship with his watery claw.,He strikes the ship with his watery claw.
Another wave swells up into the shape of Neptune and crashes down on the seemingly tiny ship.,Another wave swells up into the shape of him and crashes down on the seemingly tiny ship.
"Fievo clutches the ship's rope desperately, his whole body shaking as another enormous wave speeds towards him and covers the ship.","He clutches the ship's rope desperately, his whole body shaking as another enormous wave speeds towards him and covers the ship."
He falls overboard.,He falls overboard.
Papa dangles from a rope as the ship drifts off in the night.,He dangles from a rope as the ship drifts off in the night.
"While Fievo flails about in the stormy waters, the ocean current pulls him further from view.","While he flails about in the stormy waters, the ocean current pulls him further from view."
"At Henri's home, Fievel disappears beneath a billow of soap suds.","At his home, he disappears beneath a billow of soap suds."
The pigeon pulls him out and sets him on a hot water bottle.,The pigeon pulls him out and sets him on a hot water bottle.
Lady pigeons fly in.,They fly in.
Henri and Fievel trade hats.,They trade hats.
"Bible climbs onto a purple lady pigeon's back, then twirls Henry's top hat.","He climbs onto a purple lady pigeon's back, then twirls his top hat."
The purple pigeon flies off.,It flies off.
In the water tower.,In the water tower.
Bridget blows Fievel a kiss before leaving him in a wicker cradle.,She blows him a kiss before leaving him in a wicker cradle.
"Now alone, he shuffles over to a small window and climbs onto the sill.","Now alone, he shuffles over to a small window and climbs onto the sill."
Several potted flowers sit on the ledge and stars fill the sky above.,Several potted flowers sit on the ledge and stars fill the sky above.
Outside the doctor's bag.,Outside the doctor's bag.
A man and woman stroll past a gazebo in a park.,A man and woman stroll past a gazebo in a park.
Warren plays the violin.,He plays the violin.
He bears his teeth at Digit.,He bears his teeth at her.
He rips off a fake nose and fake ears and his real cat ears unfurl to full size.,He rips off a fake nose and fake ears and his real cat ears unfurl to full size.
Fievel watches from the other side of Warren's translucent mirror.,He watches him from the other side of Warren's translucent mirror.
Fievel bites the imposter.,He bites him.
Fievel runs off.,He runs off.
Tiger upturns the car table.,He upturns the car table.
The tomcat drops the card table on his own fluffy tail.,He drops the card table on his own fluffy tail.
Fievel bolts across the piano.,He bolts across the piano.
"As cats attack from either side, the mouse runs back and forth across the keys to avoid them.","As cats attack from either side, it runs back and forth across the keys to avoid them."
"Fievel ducks briefly behind the player roll, then dashes off.","He ducks briefly behind the player roll, then dashes off."
"The cats race after him in the sewer, but slip on loose beads and slam into a wall.","The cats race after him in the sewer, but slip on loose beads and slam into a wall."
"Riding a roller skate, Fievel speeds off.",He speeds off.
He sticks his tongue out at the cats.,He sticks his tongue out at the cats.
"Up ahead, three cats lunge for him as he careens downhill and lands underwater.","Up ahead, three cats lunge for him as he careens downhill and lands underwater."
He swims through a bear trap and hurries up a chain link.,He swims through a bear trap and hurries up a chain link.
"As the cats pull on the chain, he bounds away.","As the cats pull on the chain, he bounds away."
"Fievel scrambles up a loose pile of gravel, then out an open manhole.","He scrambles up a loose pile of gravel, then out an open manhole."
"Above ground, he pauses to peer into the sewer with a grin.","Above ground, he pauses to peer into the sewer with a grin."
"He puts on his cap, turns on his heel, and starts to leave.","He puts on his cap, turns on his heel, and starts to leave."
Vival ducks as tiger's antics knock the cage over.,Vival ducks as his antics knock the cage over.
"As Fievel watches from the cage, Tiger sits somberly on a dresser with his arms crossed and his tail tapping.","As he watches from the cage, he sits somberly on a dresser with his arms crossed and his tail tapping."
"After a moment, he stands on his head to look at Fievel.",He stands on his head to look at her.
Tiger lies down.,He lies down.
He lets Fievel out of the cage.,He lets him out of the cage.
Fievel scratches Tiger's back.,He scratches his back.
"In the mirror, their equal-sized reflections dance and skate together, then float on chunks of ice as it breaks apart and slowly melts back into the floor.","In the mirror, their equal-sized reflections dance and skate together, then float on chunks of ice as it breaks apart and slowly melts back into the floor."
"On the water, smoke puffs from the Star of Hong Kong.","On the water, smoke puffs from it."
The clock strikes six.,The clock strikes six.
"Inside, hordes of mice push the cart's wheels.","Inside, they push the cart's wheels."
Two others try to cut ropes holding the cart back.,Two others try to cut ropes holding the cart back.
Papa and some other mice pump a lever inside the cart.,They pump a lever inside the cart.
"While Warren stands outside shaking with laughter and pointing at the flaming building, Fievel grabs a burning stick.","While he stands outside shaking with laughter and pointing at the flaming building, he grabs a burning stick."
"On the water, the ship begins to move.","On the water, the ship begins to move."
Gussie gives an alarmed look.,He gives an alarmed look.
Fievel races to the rope with his small flame and burns it.,He races to the rope with his small flame and burns it.
"The cart rolls free, but Fievel falls, hits his head on the metal holding pin and loses consciousness.","The cart rolls free, but he falls, hits his head on the metal holding pin and loses consciousness."
"A giant head attached to the cart strikes against the front door, which begins to crack.","A giant head attached to the cart strikes against the front door, which begins to crack."
"Outside, Warren and the other cats gawk.","Outside, they gawk."
Glowing light in green and red shines forth and Warren covers his mouth.,Glowing light in green and red shines forth and he covers his mouth.
"At last, the doors break open, revealing the shape of a gigantic mouse.","At last, the doors break open, revealing the shape of a gigantic mouse."
"It's midsection bears the text, giant mouse of mince.","It's midsection bears the text, giant mouse of mince."
"As it swings its head and opens its huge jaws, the mice inside shoot fireworks at the cats.","As it swings its head and opens its huge jaws, they shoot fireworks at them."
The mice high five.,They high five.
The cats sprint up a pile of crates while three other mice light more fireworks.,The cats sprint up a pile of crates while three other mice light more fireworks.
The cats immediately retreat.,They immediately retreat.
Warren bolts with Digit and Tony lights more rockets from the cart.,He bolts with them and he lights more rockets from the cart.
"Now, mice begin to abandon the cart using mini parachutes.","Now, mice begin to abandon the cart using mini parachutes."
