text_gt,text_gt_wo_char
Gittes stop her.,He stop her.
Evelyn flashes a cold smile.,She flashes a cold smile.
Evelyn walks out the door.,She walks out the door.
This time Gittes is stopped by the Gray-Haired Man who has also come out of his office and up behind him.,This time he is stopped by him who has also come out of his office and up behind him.
Gittes stares down at the papers in his hand.,He stares down at the papers in his hand.
"Gittes turns to be handed a thick sheaf of papers, a summons and complaint.","He is handed a thick sheaf of papers, a summons and complaint."
The Secretary half rises in protest but Gittes is through the inner door.,The he half rises in protest but he is through the inner door.
"The walls are covered with commendation, photos of Mulwray at various construction sites, large maps of watershed areas and reservoirs in the city.","The walls are covered with commendation, photos of him at various construction sites, large maps of watershed areas and reservoirs in the city."
"On the desk is a framed, tinted photo of Evelyn in riding clothes.","On the desk is a framed, tinted photo of her in riding clothes."
"Gittes moves to the desk, watching the translucent pane in the upper half of the door leading to the outer office as Gittes does.","He moves to the desk, watching the translucent pane in the upper half of the door leading to the outer office as he does."
Gittes begins to open and close the desk drawers after quickly examining the top.,He begins to open and close the desk drawers after quickly examining the top.
"Gittes reopens the top drawer, and the bottom one opens.","He reopens the top drawer, and the bottom one opens."
"Gittes looks in it, pulls out a checkbook.","He looks in it, pulls out a checkbook."
"Gittes opens it, riffles through the stubs like Gittes was shuffling cards.","He opens it, riffles through the stubs like he was shuffling cards."
"Drops it, finds a set of keys, an old phone book, and a menu from a Water Department lunch at the Biltmore Hotel in 1913.","He drops it, finds a set of keys, an old phone book, and a menu from a Water Department lunch at the Biltmore Hotel in 1913."
Gittes spots a shadow looming in front of the translucent pane.,He spots a shadow looming in front of the translucent pane.
Enters the room.,Enters the room.
An anxious Secretary is right behind him.,An anxious he is right behind him.
"Gittes nods, follows Yelburton out, through the outer office to his offices down the hall.","He nods, follows him out, through the outer office to his offices down the hall."
Smaller than Mulwray Yelburton has most noticeably a lacquered marlin mounted on the wall.,He has most noticeably a lacquered marlin mounted on the wall.
There are a couple of other pictures of Yelburton with yellowtail and other fish Yelburton is standing beside.,There are a couple of other pictures of him with yellowtail and other fish he is standing beside.
"There's also a small burgee of a fish with the initials A.C.below it, tacked onto the wall.","There's also a small burgee of a fish with the initials A.C. below it, tacked onto the wall."
Gittes spots a card tray on Yelburton desk.,He spots a card tray on his desk.
"Gittes fishes a couple off the tray, puts them in his handkerchief pocket.","He fishes a couple off the tray, puts them in his handkerchief pocket."
"Gittes goes out the door, nearly running into a man who is standing by The Secretary desk, about Gittes age only a head taller and a foot wider, dressed in a plain suit that fits him about as well as a brown paper bag.","He goes out the door, nearly running into him who is standing by The Secretary desk, about his age only a head taller and a foot wider, dressed in a plain suit that fits him about as well as a brown paper bag."
"Mulvihill stares at Gittes with unblinking eyes, remains by the desk.","He stares at him with unblinking eyes, remains by the desk."
Mulvihill moves toward Gittes shaking with fury.,He moves toward him shaking with fury.
Yelburton steps between them.,He steps between them.
Rings the bell.,He rings the bell.
"A powerful CHINESE Butler with heavy hair and a half-jacket of gold on one front tooth, answers the door.",He answers the door.
Gittes hands the Chinese Butler a card from his wallet.,He hands him a card from his wallet.
"The Butler takes it and disappears, leaving Gittes standing in the doorway.","The Butler takes it and disappears, leaving he standing in the doorway."
"Gittes stands, and sweats, watching A Japanese Gardener trim a hedge.","He stands, and sweats, watching him trim a hedge."
A chauffeur is washing down a cream-colored Packard with a chamois.,He is washing down a cream-colored Packard with a chamois.
Steam rises off the hood.,Steam rises off the hood.
The squeaking has obviously come from the chamois.,The squeaking has obviously come from it.
Gittes looks behind him.,He looks behind him.
The Chinese Butler is gesturing for him to follow.,He is gesturing for him to follow.
"Follows him, trying to check out the rooms as Butler goes.","Follows him, trying to check out the rooms as he goes."
A maid is cleaning in the den.,She is cleaning in the den.
They pass through it out some French doors along a trellised walkway to a large pond with running water.,They pass through it out some French doors along a trellised walkway to a large pond with running water.
"After a moment, The Gardener comes running back.","After a moment, he comes running back."
The Gardener smiles at Gittes probes into the pond.,He smiles at him as he probes into the pond.
"After a moment, The Gardener drops the long probe, the waters recede.","After a moment, he drops the long probe, the waters recede."
The pond is over-flowing.,The pond is over-flowing.
It's suddenly very quiet except for the runnning water.,It's suddenly very quiet except for the running water.
Gittes is left standing by the pond.,He is left standing by the pond.
There's something gleaming in the bottom of it.,There's something gleaming in the bottom of it.
"The Gardener nods, and is off, leaving Gittes staring at the object in the bottom of the pond that is gleaming.","He nods, and is off, leaving him staring at the object in the bottom of the pond that is gleaming."
Gittes notes it.,He notes it.
"Gittes looks at the tool The Gardener was using, hesitates, picks it up and starts to probe into the pond himself, toward the gleaming object.","He looks at the tool he was using, hesitates, picks it up and starts to probe into the pond himself, toward the gleaming object."
"Gittes then spots Evelyn rounding a turn, coming down the trellised pathway.","He spots her rounding a turn, coming down the trellised pathway."
"Gittes casually belts the probe, holds onto it for poise.","He casually belts the probe, holds onto it for poise."
Evelyn is wearing jeans that are lathered white on the inside of the thighs and laced with brown horsehair.,She is wearing jeans that are lathered white on the inside of the thighs and laced with brown horsehair.
"Evelyn is wearing riding boots, is perspiring a little, but looks younger than Evelyn did in the office.","She is wearing riding boots, is perspiring a little, but looks younger than she did in the office."
Gittes is a little taken aback at seeing Evelyn,He is a little taken aback at seeing her.
The Chinese Butler appears on the veranda.,He appears on the veranda.
"Chinese Butler nods, disappears.","He nods, disappears."
Evelyn sits at a glass-topped table.,She sits at a glass-topped table.
Gittes Joins her.,He joins her.
The iced tea comes on a tray which Ramon sets down between them.,The iced tea comes on a tray which he sets down between them.
Evelyn looks up.,She looks up.
Gittes smiles a little sheepishly.,He smiles a little sheepishly.
Again Gittes laughs a little nervously.,Again he laughs a little nervously.
Gittes nods.,He nods.
"Gittes drives up a winding road, following a flood channel up into the parched hills.","He drives up a winding road, following a flood channel up into the parched hills."
"One a rescue truck, are at the entrance to the reservoir.","On the road, are at the entrance to the reservoir."
The chain link fence with its KEEP OUT sign is open and there are people milling around.,There are people milling around.
The reservoir is below.,The reservoir is below.
Gittes car is stopped by a couple of UNIFORMED POLICE.,His car is stopped by a couple of uniformed police.
"Gittes fishes out one of Yelburton cards from his handkerchief pocket, hands it to the Guard.","He fishes out one of his cards from his handkerchief pocket, hands it to him."
"Gittes drives past the Guards, through the gate, along the reservoir.","He drives past the Guards, through the gate, along the reservoir."
Gittes stops and gets out of the car.,He stops and gets out of the car.
Gittes spots a police car and an unmarked one as well.,He spots a police car and an unmarked one as well.
"Several men with their backs turned, one talking quietly, staring down into the reservoir where other men in small skiffs are apparently dredging for something.","Several men with their backs turned, one talking quietly, staring down into the reservoir where other men in small skiffs are apparently dredging for something."
One of the men turns and sees Gittes,One of the men turns and sees him.
Loach recognizes Gittes and is visibly shocked.,He recognizes him and is visibly shocked.
Loach tries to ease him down the path.,He tries to ease him down the path.
"At the sound of his raised voice, a man standing at the edge of the channel, talking to two boys in swimming trunks, turns around.","At the sound of his raised voice, a man standing at the edge of the channel, talking to two boys in swimming trunks, turns around."
Both Gittes and Escobar register considerable surprise at seeing one another.,Both he and he register considerable surprise at seeing one another.
The men around them are extremely uneasy.,The men around them are extremely uneasy.
They walk a couple of steps.,They walk a couple of steps.
"Gittes reaches into his pocket, pulls out his cigarette case.","He reaches into his pocket, pulls out his cigarette case."
Escobar nods.,He nods.
"Finally, Escobar smiles.","Finally, he smiles."
"The other police, two plainclothesmen and a uniformed officer, watch them.",They watch them.
Escobar points down to the reservoir.,He points down to the reservoir.
A couple of men using poles with hooks are fishing about in the water.,They are fishing about in the water.
It can be SEEN that one of them has hooked something.,It can be seen that one of them has hooked something.
"The other man hooks it, too.","He hooks it, too."
"They pull, revealing the soaking back of a man's coat.","They pull, revealing the soaking back of a man's coat."
They start to pull the body into the skiff.,They start to pull it into the skiff.
Are standing over the body of Mulwray,Are standing over the body of him
Escobar has the sheet drawn back.,He has the sheet drawn back.
Escobar drops the sheet.,He drops the sheet.
Evelyn nods.,She nods.
"Escobar and Evelyn move a few feet to one side and whisper, almost as though they were trying to keep the corpse from hearing them.","They move a few feet to one side and whisper, almost as though they were trying to keep the corpse from hearing them."
Escobar and Evelyn move slowly toward the door.,They move slowly toward the door.
Evelyn looks at Escobar but doesn't know how to answer him.,She looks at him but doesn't know how to answer him.
Escobar nods.,He nods.
"Gittes has been sitting on a wooden bench, smoking and listening.","He has been sitting on a wooden bench, smoking and listening."
"At this question, Gittes rises and looks through the doorway.","At this question, he rises and looks through the doorway."
"Escobar sees him, ignores him.","He sees him, ignores him."
Evelyn looks up to see Gittes standing in the doorway only a foot or two from her.,She looks up to see him standing in the doorway only a foot or two from her.
Evelyn stops cold.,She stops cold.
Escobar is right at her back.,He is right at her back.
They look at one another for a long moment.,They look at one another for a long moment.
Gittes says nothing.,He says nothing.
"Gittes finishes, looks plaintively at Gittes","He finishes, looks plaintively at him."
Evelyn nods slightly Escobar coughs.,He nods slightly and he coughs.
Gittes picks up the sheet and pulls it back.,He picks up the sheet and pulls it back.
"Eyes open, the face badly cut and bruised.","Eyes open, his face badly cut and bruised."
"They begin to walk slowly, again have to move out of the way as some other corpse is being wheeled out of one of the Coroner cubicles.","They begin to walk slowly, again have to move out of the way as some other corpse is being wheeled out of one of the Coroner cubicles."
Morty is wheeling in another body with the help of an assistant.,He is wheeling in another body with the help of an assistant.
Morty pulls back the sheet.,He pulls back the sheet.
"Morty brushes some sand from the man's face, laughs.","He brushes some sand from his face, laughs."
"As he begins to move the body into the refrigerator, Morty breaks into a wrenching spasm of coughing.","As he begins to move the body into the refrigerator, he breaks into a wrenching spasm of coughing."
Morty shrugs.,He shrugs.
The Boy doesn't answer.,He doesn't answer.
The Boy nods.,He nods.
The horse snorts.,It snorts.
The Boy rides slowly on.,He rides slowly on.
Gittes scrambles up the embankment to note the direction the storm drain by Hollenbeck Bridge takes.,He scrambles up the embankment to note the direction the storm drain by Hollenbeck Bridge takes.
"It is headed above toward the Hollywood Hills, where the sun is setting.","It is headed above toward the Hollywood Hills, where the sun is setting."
Along the flood channel.,Along the flood channel.
It is dark now and Gittes follows the channel with the car spotlight.,He follows the channel with the car spotlight.
The road is dirt.,The road is dirt.
Heavy clusters of oak trees and eucalyptus are everywhere.,Heavy clusters of oak trees and eucalyptus are everywhere.
"Another turn and a pie- shaped view of a lake of lights in the city below can be over the road, bolted.","Another turn and a pie- shaped view of a lake of lights in the city below can be over the road, bolted."
Gittes turns at a fork in the road which allows him to continue following the flood channel.,He turns at a fork in the road which allows him to continue following the flood channel.
The road is narrower.,The road is narrower.
Gittes drives more slowly.,He drives more slowly.
"The chain-link itself actually extends over the flood channel and down into it, making access along the channel itself impossible.","The chain-link itself actually extends over the flood channel and down into it, making access along the channel itself impossible."
"Gittes backs up, turns off the motor, the car lights, the spotlight.","He backs up, turns off the motor, the car lights, the spotlight."
Alone light overhead on tension wires is the sole illumination.,Alone light overhead on tension wires is the sole illumination.
"Gittes gets out of the car, clubs the fence near the Flood channel itself.","He gets out of the car, clubs the fence near the Flood channel itself."
Lights from the reservoir still higher above can be SEEN.,Lights from the reservoir still higher above can be SEEN.
Gittes carefully works his way up through the thick Foliage toward a second and large chain-link fence.,He carefully works his way up through the thick foliage toward a second and large chain-link fence.
"Gittes dives into the flood control channel, which is at this point about four feet deep and six feet wide.","He dives into the flood control channel, which is at this point about four feet deep and six feet wide."
Gittes loses himself among the ivy in the channel.,He loses himself among the ivy in the channel.
Gittes starts to lift his head to catch the direction.,He starts to lift his head to catch the direction.
"Then Gittes is inundated with a rush of water which pours over him, knocks off his hat, carries him down the channel, banging into its banks, as Gittes desperately tries to grab some of the overgrowth to hang on and pull himself out.","Then he is inundated with a rush of water which pours over him, knocks off his hat, carries him down the channel, banging into its banks, as he desperately tries to grab some of the overgrowth to hang on and pull himself out."
But the force of the stream batters him and carries him with it until Gittes is brought rudely to the chainlink fence.,But the force of the stream batters him and carries him with it until he is brought rudely to the chainlink fence.
It stops him cold.,It stops him cold.
"Swearing and choking, Gittes pulls himself out of the rushing water by means of the fence itself.","Swearing and choking, he pulls himself out of the rushing water by means of the fence itself."
"Drenched, battered, Gittes slowly climbs back over the fence and makes his way toward his car.",He slowly climbs back over the fence and makes his way toward his car.
"Gittes fishes for his car keys, looks down.","He fishes for his car keys, looks down."
One shoe is missing.,One shoe is missing.
Gittes starts to get into his car but Mulvihill and a SMALLER MAN stop him.,He starts to get into his car but they stop him.
"Mulvihill pulling his coat down and pinning his arms, holding him tightly.","He pulls him down and pins his arms, holding him tightly."
The smaller man thrusts a switchblade knife about an inch and a half up Gittes left nostril.,He thrusts a switchblade knife about an inch and a half up his left nostril.
"Frozen, the knife in his nostril, the street lamp overhead gleaming on the silvery blade.","Frozen, the knife in his nostril, the street lamp overhead gleaming on the silvery blade."
"With a quick flick the Smaller Man pulls back on the blade, laying Gittes left nostril open about an inch further.","With a quick flick he pulls back on the blade, laying her left nostril open about an inch further."
Gittes screams.,He screams.
Blood gushes down onto his shirt and coat.,Blood gushes down onto his shirt and coat.
"Gittes bends over, instinctively trying to keep the blood from getting on his clothes.","He bends over, instinctively trying to keep the blood from getting on his clothes."
Mulvihill and the Smaller Man stare at him.,He stares at him.
Gittes is now groveling on his hands and knees.,He is now groveling on his hands and knees.
"Gittes on the ground can see only his tormentor's two-tone brown and white wing-tipped shoes, lightly freckled with his blood.","He can see only his tormentor's two-tone brown and white wing-tipped shoes, lightly freckled with his blood."
Comes up and lightly shoves Gittes into the ground.,He comes up and lightly shoves him into the ground.
"The SOUND of FOOTSTEPS RETREATING, Gittes gasping.",He gasps.
"Sits behind his desk, BACK TO CAMERA, not moving.","Sits behind his desk, BACK TO CAMERA, not moving."
"Duffy sits staring at nothing, Walsh moves uneasily around the room.","He sits staring at nothing, he moves uneasily around the room."
Gittes turns slowly to Walsh,He turns slowly to him.
Gittes lightly taps his nose.,He lightly taps his nose.
Gittes looks irritated.,He looks irritated.
Gittes picks up the phone.,He picks up the phone.
Walsh promptly starts to tell Duffy the Admiral Byrd story.,He starts to tell him the Admiral Byrd story.
Walsh has finished off the punch line and both men are laughing raucously.,Both men are laughing raucously.
Gittes drops the mail Gittes has been loafing through and puts his hand over the receiver.,He drops the mail he has been loafing through and puts his hand over the receiver.
Gittes looks to his two men.,He looks to his two men.
"Gittes is seated, flips through the paper until Gittes finds the OBITUARY COLUMN, scans it, looks up, abruptly tears the column from the paper and puts it in his pocket.","He flips through the paper until he finds the OBITUARY COLUMN, scans it, looks up, abruptly tears the column from the paper and puts it in his pocket."
Evelyn Mulwray is standing at the table as Gittes does so.,He does so.
"Gittes rises, allows her to sit.","He rises, allows her to sit."
"Evelyn is wearing dove gray gabardine, subdued, tailored.","She is wearing dove gray gabardine, subdued, tailored."
The waiter's appeared.,They appeared.
Evelyn is looking at Gittes nose.,He is looking at her nose.
Evelyn looks down and smoothes her gloves.,She looks down and smoothes her gloves.
When Evelyn looks back up Evelyn stares expectantly at Gittes,When she looks back up she stares expectantly at him.
Gittes pulls out a torn envelope.,He pulls out a torn envelope.
Gittes fingers the envelope.,He fingers the envelope.
Gittes coughs.,He coughs.
Gittes smiles.,He smiles.
Gittes looks significantly to Evelyn,He looks significantly to her.
Evelyn is clearly angry but Evelyn is controlling it.,She is clearly angry but she is controlling it.
This subdues Gittes a little.,This subdues him a little.
Evelyn is still a little heated.,He is still a little heated.
Evelyn for the first time appears a little embarrassed.,She appears a little embarrassed for the first time.
Evelyn looks squarely at him.,She looks squarely at him.
Gittes nods.,He nods.
Gittes has been fingering the envelope.,He has been fingering the envelope.
Evelyn turns into Gittes,He turns into him.
Gittes leans on the open door of his car and in to Evelyn,He leans on the open door of his car and into her.
Gittes talks quietly but spits it out.,He talks quietly but spits it out.
Evelyn steadies herself on the open car door.,She steadies herself on the open car door.
Evelyn stares at Gittes for a long moment.,She stares at him for a long moment.
Then Gittes gently tugs the car door closed.,Then he gently tugs the car door closed.
Evelyn remains unperturbed.,She remains unperturbed.
"Gittes drives off into the Wilshire traffic, leaving Evelyn looking after him.","He drives off into the Wilshire traffic, leaving her looking after him."
Gittes goes through the door to The Secretary,He goes through the door to her.
The Secretary looks up.,He looks up.
The Secretary recognizes Gittes again and is not happy to see him.,The Secretary recognizes him again and is not happy to see him.
The Secretary immediately gets up and goes into the inner office.,He immediately gets up and goes into the inner office.
Gittes turns and strolls around the office a moment.,He turns and strolls around the office a moment.
Gittes stops as Gittes spots a photo of the man with the cane Gittes had seen photos of earlier.,He stops as he spots a photo of him with the cane he had seen photos of earlier.
"Julian Cross is standing high in the mountains, near a pass.","He is standing high in the mountains, near a pass."
"Gittes pulls out a cigarette case, offers The Secretary one.","He pulls out a cigarette case, offers her one."
The Secretary refuses.,He refuses.
"Gittes lights up and begins to hum 'The Way You Look Tonight,' strolling along the wall looking at more photographs.","He lights up and begins to hum 'The Way You Look Tonight,' strolling along the wall looking at more photographs."
Here Gittes spots several photos of a much younger Mulwray along with Julian Cross,Here he spots several photos of a much younger him along with him.
"Gittes still humming, turns to The Secretary","He still humming, turns to her."
"The Secretary gets up, annoyed, and goes into Yelburton inner office.","He gets up, annoyed, and goes into his inner office."
Gittes goes back to the photographs.,He goes back to the photographs.
"Gittes hears a SCRATCHING SOUND, apparently coming from just outside the outer door.","He hears a SCRATCHING SOUND, apparently coming from just outside the outer door."
"Gittes moves quickly to it, hesitates, swiftly opens the door.","He moves quickly to it, hesitates, swiftly opens the door."
"Workmen are behind it, scraping away Mulwray name on the outer door, looking up at Gittes in some surprise.","Workmen are behind it, scraping away his name on the outer door, looking up at him in some surprise."
"The Secretary returns, sees the workman on the floor.","He returns, sees him on the floor."
Gittes heads toward the door.,He heads toward the door.
"Gittes nods graciously, heads on into Yelburton office.","He nods graciously, heads on into the office."
There is a subtle but perceptible difference in Yelburton attitude.,There is a subtle but perceptible difference in his attitude.
Gittes nods.,He nods.
"Gittes smiles, leaves an unsmiling Yelburton","He smiles, leaves an unsmiling him."
"Gittes enters, drops his hat on Sophie desk.","He enters, drops his hat on her desk."
Sophie tries to tell him something but Gittes goes on into his office.,He tries to tell him something but he goes on into his office.
Evelyn looks up when Gittes enters.,She looks up when he enters.
"Gittes moves to his desk, barely breaking stride at the sight of her.","He moves to his desk, barely breaking stride at the sight of her."
"Is sitting, smoking.","Is sitting, smoking."
Gittes buzzes Sophie,He buzzes her.
Evelyn nods.,She nods.
Evelyn lights another cigarette.,She lights another cigarette.
Evelyn signs it.,She signs it.
Cross is visibly surprised.,He is visibly surprised.
Cross nods.,He nods.
Gittes glances down at the fish whose isinglass eye is glazed over with the heat of cooking.,He glances down at the fish whose isinglass eye is glazed over with the heat of cooking.
Gittes laughs.,He laughs.
Gittes shrugs.,He shrugs.
"Cross starts to reply, then there's the SOUND of a MARIACHI BAND and some men in formation clear a bluff about a hundred yards off.","He starts to reply, then there's the SOUND of a MARIACHI BAND and some men in formation clear a bluff about a hundred yards off."
They are dressed like Spanish dons on horseback.,They are dressed like Spanish dons on horseback.
Cross shakes his head.,He shakes his head.
Cross looks to Gittes in some real surprise.,He looks to him in some real surprise.
Cross looks hatefully at Gittes,He looks hatefully at him.
Dark and quiet except for the whirring of fans.,Dark and quiet except for the whirring of fans.
Gittes approaches one of the CLERKS at a desk.,He approaches one of them at a desk.
The Clerk's droopy eyes widen a little which is a snotty remark.,The Clerk's droopy eyes widen a little which is a snotty remark.
Gittes smiles.,He smiles.
"Gittes regards his back a moment, then goes to the stacks.","He regards his back a moment, then goes to the stacks."
"Gittes sees the Clerk turn to another, say something.","He sees him turn to another, say something."
The second clerk gets on the phone.,He gets on the phone.
The Clerk turns away abruptly.,He turns away abruptly.
"Gittes hauls down the northwest valley volume, opens it.","He hauls down the northwest valley volume, opens it."
It's huge and there's a lot to go through.,It's huge and there's a lot to go through.
The print itself makes him squint.,The print itself makes him squint.
"Showing TRACT, LOT, PARCEL, even a METES AND BOUNDS designation where the description of the land parcel is long and hopelessly involved e.g.'6000 paces to Rio Seco, thence 7000 paces to Loma Linda, etc.' These descriptions are old and faded.","Showing TRACT, LOT, PARCEL, even a METES AND BOUNDS designation where the description of the land parcel is long and hopelessly involved e.g.'6000 paces to Rio Seco, thence 7000 paces to Loma Linda, etc.' These descriptions are old and faded."
"In the owners' column, however there are numerous freshly typed names pasted over the prior owners.","In the owners' column, however there are numerous freshly typed names pasted over the prior owners."
The Clerk turns sharply around.,He turns sharply around.
Gittes looks a little surprised.,He looks a little surprised.
"The exasperated Clerk reaches around, rummages, slaps a ruler on the desk.","The exasperated he reaches around, rummages, slaps a ruler on the desk."
Gittes goes back to the stacks with the ruler.,He goes back to the stacks with the ruler.
"Gittes opens the book, places the ruler not horizontally but vertically.","He opens the book, places the ruler not horizontally but vertically."
"Beside the OWNER column Gittes places the ruler, looks toward the clerks, then swiftly rips down the page, tearing out a strip about two inches wide containing the owner's name and property description.","Beside the OWNER column he places the ruler, looks toward them, then swiftly rips down the page, tearing out a strip about two inches wide containing the owner's name and property description."
"As Gittes tears, Gittes either sniffles or coughs to cover the SOUND of the PAPER being ripped.","As he tears, he either sniffles or coughs to cover the SOUND of the PAPER being ripped."
"Amidst a hall of shimmering dust and heat, parched and drying groves, narrower roads.","Amidst a hall of shimmering dust and heat, parched and drying groves, narrower roads."
Gittes parks at the edge of the field.,He parks at the edge of the field.
"Gittes is hefted half off the ground and the two younger Farmers spin him around, going through his clothes.","He is hefted half off the ground and they spin him around, going through his clothes."
"They toss his wallet, his silver cigarette case, etc.","They toss his wallet, his silver cigarette case, etc."
Gittes is badly banged up and half out on his feet.,He is badly banged up and half out on his feet.
Gittes back is to the Red Faced Farmer.,He is to the Red Faced Farmer.
"Gittes leans against the back of his car, breathing heavily.","He leans against the back of his car, breathing heavily."
The Crippled Farmer pokes him rudely in the back with his crutch.,He pokes him rudely in the back with his crutch.
Gittes turns sharply.,He turns sharply.
Gittes looks up at the Red Faced Farmer.,He looks up at the Red Faced Farmer.
The paper's on the ground.,The paper's on the ground.
Gittes picks it up.,He picks it up.
The Big Farmer takes a swing at Gittes,He takes a swing at him.
"Gittes kicks him squarely in the nuts, knees him in the jaw after Gittes has doubled up, and hits him solidly.","He kicks him squarely in the nuts, knees him in the jaw after he has doubled up, and hits him solidly."
The Crippled Farmer takes careful aim and brings his crutch down on the back of Gittes head.,He takes careful aim and brings his crutch down on the back of his head.
Gittes is knocked to the ground and lies still beside the Big Farmer who is writhing in agony in the dirt.,He is knocked to the ground and lies still beside him who is writhing in agony in the dirt.
Is staring down at Gittes who's lying in the screened in porch of the farmers.,Is staring down at him who's lying in the screened in porch of the farmers.
"His wife, the Red Faced Farmer, and the Big Farmer are there, along with the dog.","His wife, he, and he are there, along with the dog."
"Gittes has got dried blood down the side of his face from his nose, a huge mouse on his cheek, and his clothes are torn in a couple of spots.","He has got dried blood down the side of his face from his nose, a huge mouse on his cheek, and his clothes are torn in a couple of spots."
Gittes looks out.,He looks out.
Gittes says nothing.,He says nothing.
Evelyn driving.,She is driving.
"Gittes pulls out cigarette case, takes one, offers one to Evelyn who refuses.","He pulls out cigarette case, takes one, offers one to her who refuses."
It's almost evening.,It's almost evening.
Gittes pulls out the obituary column Gittes had folded up earlier in the day.,He pulls out the obituary column he had folded up earlier in the day.
There is a small sign giving the name of the place in elegant neon scroll.,There is a small sign giving the name of the place in elegant neon scroll.
It sits on the rolling green lawns.,It sits on the rolling green lawns.
"Evelyn car pulls up before the elegant Spanish rest home, its entryway illuminated by streetlights.","His car pulls up before the elegant Spanish rest home, its entryway illuminated by streetlights."
Gittes gets out of the car with Evelyn,He gets out of the car with her.
Gittes offers her his arm and they go up the walkway to the entrance.,He offers her his arm and they go up the walkway to the entrance.
"Gittes and Evelyn are approached by an unctuous man in his forties, with a flower in his buttonhole.","He and she are approached by an unctuous man in his forties, with a flower in his buttonhole."
"Then Palmer gets a clear look at Gittes bruised, trousers torn, etc.","Then he gets a clear look at him bruised, trousers torn, etc."
Gittes sees Evelyn first.,He sees her first.
Evelyn shakes her head.,She shakes her head.
Evelyn can't quite conceal her surprise at the question.,She can't quite conceal her surprise at the question.
Evelyn stares back at Gittes amused and appalled.,She stares back at him amused and appalled.
Evelyn manages to nod.,She manages to nod.
Gittes locks eyes with Palmer,He locks eyes with her.
Gittes points to the wall.,He points to the wall.
"After Evelyn looks, Evelyn turns to Gittes","After he looks, he turns to him."
Gittes strolls toward the women knitting and working on the quilt.,He strolls toward them and they are knitting and working on the quilt.
Two of the ladies giggle.,Two of them giggle.
The third gives them a curt look and goes back to her knitting.,He gives them a curt look and goes back to her knitting.
Gittes approaches her.,He approaches her.
Gittes looks at the quilt.,He looks at the quilt.
In it is the head of a fish among the rest of the crazy quilt pattern.,In it is the head of a fish among the rest of the crazy quilt pattern.
Gittes spots it.,He spots it.
Evelyn is beside him.,He is beside him.
Evelyn gestures as if there's someone behind Palmer,He gestures as if there's someone behind him.
"Gittes looks up, sees Palmer standing in the doorway, looking taut and a little drawn.","He looks up, sees him standing in the doorway, looking taut and a little drawn."
Mulvihill has walked up beside Gittes,He has walked up beside him.
"Mulvihill makes the mistake of opening the glass door in the entryway, putting his back to Gittes for a moment.","He makes the mistake of opening the glass door in the entryway, putting his back to him for a moment."
Gittes swiftly pulls Mulvihill jacket up over his head.,He swiftly pulls his jacket up over his head.
Gittes spins him around.,He spins him around.
"With his jacket covering his face, Gittes hammers away at Mulvihlll, beating him against the glass door, along the wall, mercilessly pounding his fists into the cloth until the cloth turns red and Mulvihill begins to sink to the red tile floor.","With his jacket covering his face, he hammers away at him, beating him against the glass door, along the wall, mercilessly pounding his fists into the cloth until the cloth turns red and he begins to sink to the red tile floor."
Mulvihill gun has clattered to the floor.,His gun has clattered to the floor.
"Gittes jumps in and Evelyn takes off across the lawn, tilting the elegant little neon sign on the lawn as Evelyn goes.","He jumps in and she takes off across the lawn, tilting the elegant little neon sign on the lawn as she goes."
"Evelyn looking straight ahead, driving.","He looking straight ahead, driving."
After a moment Evelyn takes one hand off the wheel and rubs her left eye a little.,After a moment she takes one hand off the wheel and rubs her left eye a little.
Gittes watches her.,He watches her.
"Gittes stands on the veranda, smoking a cigarette, staring off into the night.","He stands on the veranda, smoking a cigarette, staring off into the night."
Gittes turns.,He turns.
"Evelyn comes out to the veranda, carrying a tray with whiskey and an ice bucket on it.","She comes out to the veranda, carrying a tray with whiskey and an ice bucket on it."
They drink.,They drink.
Gittes looks sharply at her.,He looks sharply at her.
Then: Evelyn looks at him.,Then: He looks at him.
They are very close now as Evelyn is going over a mouse very near his eye.,They are very close now as she is going over a mouse very near his eye.
"VIEW SHIFTS AGAIN TO INCLUDE Gittes in bed, watching Evelyn next to him as Evelyn is talking on the phone.",He watches him next to him as he is talking on the phone.
Gittes stares at her silently.,He stares at her silently.
"Evelyn kisses him, rushes to the bathroom, shuts the door.","She kisses him, rushes to the bathroom, shuts the door."
Gittes stares at it a moment.,He stares at it a moment.
"Evelyn leaps out of bed, throwing on a robe.","She leaps out of bed, throwing on a robe."
"Evelyn starts quickly for the bathroom, then comes back and kneels by the side of the bed, takes Gittes hand.","She starts quickly for the bathroom, then comes back and kneels by the side of the bed, takes his hand."
"Then leaps out of bed, rummages around, tosses on his trousers.","Then leaps out of bed, rummages around, tosses on his trousers."
"Gittes grabs his shoes, throws them on.","He grabs his shoes, throws them on."
Then hurries out of the bedroom.,Then he hurries out of the bedroom.
Running across the driveway to the garage.,Running across the driveway to the garage.
There are two cars there.,There are two cars there.
Mulwray Buick and Evelyn Packard.,They perform.
"Gittes moves over to the Buick, opens the passenger's door.","He moves over to the Buick, opens the passenger's door."
"With the heel of his shoe, Gittes kicks at the right rear taillight of the car.","With the heel of his shoe, he kicks at the right rear taillight of the car."
"Gittes shatters the red lens, gets up.","He shatters the red lens, gets up."
"Gittes carefully pulls the red lens off the taillight, exposing the white light beneath it.","He carefully pulls the red lens off the taillight, exposing the white light beneath it."
